,confirmed_cases,total_dead,recovered
06-18-2020,463,4,63
06-17-2020,401,4,63
06-16-2020,391,4,62
06-15-2020,387,4,54
06-14-2020,383,4,54
06-13-2020,356,4,54
06-12-2020,343,4,51
06-11-2020,332,4,51
06-10-2020,320,4,49
06-09-2020,314,4,46
06-08-2020,287,4,46
06-07-2020,282,4,34
06-06-2020,279,4,33
06-05-2020,265,4,33
06-04-2020,237,4,31
06-03-2020,222,4,29
06-02-2020,206,4,29
06-01-2020,203,4,29
05-31-2020,178,4,29
05-30-2020,174,4,29
05-29-2020,149,4,28
05-28-2020,149,4,28
05-27-2020,132,4,25
05-26-2020,56,4,25
05-25-2020,56,4,25
05-24-2020,56,4,25
05-23-2020,56,4,18
05-22-2020,51,4,18
05-21-2020,51,4,18
05-20-2020,48,4,18
05-19-2020,46,4,18
05-18-2020,46,4,18
05-17-2020,44,4,17
05-16-2020,42,4,13
05-15-2020,42,4,13
05-14-2020,37,4,13
05-13-2020,37,4,12
05-12-2020,36,4,9
05-11-2020,36,4,9
05-10-2020,36,4,9
05-09-2020,35,4,9
05-08-2020,34,4,9
05-07-2020,34,4,5
05-06-2020,34,4,5
05-05-2020,34,4,5
05-04-2020,34,4,5
05-03-2020,34,4,5
05-02-2020,34,4,5
05-01-2020,40,4,5
04-30-2020,40,4,5
04-29-2020,32,4,5
04-28-2020,32,4,5
04-27-2020,32,4,5
04-26-2020,31,4,2
04-25-2020,31,4,2
04-24-2020,29,4,2
04-23-2020,28,4,2
04-22-2020,28,4,2
04-21-2020,28,3,2
04-20-2020,25,3,2
04-19-2020,25,3,2
04-18-2020,25,3,2
04-17-2020,24,3,2
04-16-2020,23,3,1
04-15-2020,23,3,1
04-14-2020,17,3,0
04-13-2020,17,3,0
04-12-2020,14,3,0
04-11-2020,14,3,0
04-10-2020,13,3,0
04-09-2020,11,3,0
04-08-2020,11,3,0
04-07-2020,11,2,0
04-06-2020,10,1,0
04-05-2020,9,1,0
04-04-2020,9,1,0
04-03-2020,9,1,0
04-02-2020,9,1,0
04-01-2020,8,1,0
03-31-2020,8,1,0
03-30-2020,7,1,0
03-29-2020,7,1,0
03-28-2020,7,1,0
03-27-2020,5,1,0
03-26-2020,3,1,0
03-25-2020,3,1,0
03-24-2020,3,1,0
03-23-2020,3,1,0
03-22-2020,3,0,0
03-21-2020,3,0,0
03-20-2020,1,0,0
03-19-2020,0,0,0
03-18-2020,0,0,0
03-17-2020,0,0,0
03-16-2020,0,0,0
03-15-2020,0,0,0
03-14-2020,0,0,0
03-13-2020,0,0,0
03-12-2020,0,0,0
03-11-2020,0,0,0
03-10-2020,0,0,0
03-09-2020,0,0,0
03-08-2020,0,0,0
03-07-2020,0,0,0
03-06-2020,0,0,0
03-05-2020,0,0,0
03-04-2020,0,0,0
03-03-2020,0,0,0
03-02-2020,0,0,0
03-01-2020,0,0,0
02-29-2020,0,0,0
02-28-2020,0,0,0
02-27-2020,0,0,0
02-26-2020,0,0,0
02-25-2020,0,0,0
02-24-2020,0,0,0
02-23-2020,0,0,0
02-22-2020,0,0,0
02-21-2020,0,0,0
02-20-2020,0,0,0
02-19-2020,0,0,0
02-18-2020,0,0,0
02-17-2020,0,0,0
02-16-2020,0,0,0
02-15-2020,0,0,0
02-14-2020,0,0,0
02-13-2020,0,0,0
02-12-2020,0,0,0
02-11-2020,0,0,0
02-10-2020,0,0,0
02-09-2020,0,0,0
02-08-2020,0,0,0
02-07-2020,0,0,0
02-06-2020,0,0,0
02-05-2020,0,0,0
02-04-2020,0,0,0
02-03-2020,0,0,0
02-02-2020,0,0,0
02-01-2020,0,0,0
01-31-2020,0,0,0
01-30-2020,0,0,0
01-29-2020,0,0,0
01-28-2020,0,0,0
01-27-2020,0,0,0
01-26-2020,0,0,0
01-25-2020,0,0,0
01-24-2020,0,0,0
01-23-2020,0,0,0
01-22-2020,0,0,0
